User_Queries,Label
iam looking for a home,1
looking for a home near location,1
searching for a house,1
searching for a 2 bed house,1
searching for a home within 200000$ price range,1
i want to sell my home near location,2
i want to sell my home in location,2
i want to sell my home,2
i want to know how much my home costs now,2
I am going to sell my home,2
Want to sell my home,2
Will it be profitable if I sells my home,2
I am interested in seliing my home,2
How much profit i can expect if i am selling my home?,2
Could you please recommend an agent who can sell my home?,2
what is the colour of yellow car?,3
who is the american president right now?,3
who is barack obama?,3
what is one + one?,3
what is the colour of sky?,3
i want sea view 2 bed home in location,1
looking for a home within 4000sqft,1
looking for a 3 bed house within 3000 square feet and 300000$,1
Can I evaluate my home price on your website,2
Can you evalute my home?,2
Will you be able to evalute my house?,2
How to market a house?,2
Is the market good to sell my house now,2
Is it a good time to sell a house?,2
Which is the right month to sell a house?,2
Which is the right time to sell my house?,2
Which is the best season to sell a house?,2
How much is my house worth?,2
When is the best time to sell my home?,2
What home can I afford?,1
Do you think it is good thing to sell my house?,2
What is the price range of houses near location?,2
Where is your house?,3
Do you have your own house?,3
Do you have a house?,3
Where do you live?,3
Can I buy a house near to your house?,1
How is the property price near your house?,1
Don't you own a house?,3
How do you maintain your house?,3
How am I supposed to maintain my house?,3
Will you come and live in my house?,3
Why don't you come and stay with me?,3
How do you live?,3
How can you survive in your house?,3
How do you survive?,3
I am looking for a house near location,1
recommend me a house in location,1
I am searching for a home in location,1
need a home in location,1
I like this location very much so iam interested to buy a home at that place,1
I need to move on to location,1
"Hi, Please suggest a home in location",1
looking for a home near location,1
I need a home in location,1
Could you please suggest me a home in location,1
I want a house nearby location,1
I am looking for a house in location,1
I want to move to location,1
I want this type of house,1
I like to buy a this type of home,1
I am interested in single family residence,1
I would like to have condo,1
I need Condominium,1
I want a duplex home,1
2 bed is enough,1
i need a 3 bed room house,1
looking for a 2 bed,1
am not bothered about price i wanted to buy my dream home,1
i want to sell my 2 bed home,2
i want to sell my 3000sqft home,2
i want to sell my 4000 square feet house,2
i want to sell my condo,2
i am going to sell my townhouse.how much will it get?,2
i bought my house for 200000$.will it be profitable if i sell my house now?,2
i want to know how much a home in new york costs now?,2
searching for an agent to sell my home,2
recommend me an agent for selling my home,2
How long will it take to sell my home?,2
I want a house that looks like Taylor Swift's childhood home.,1
How long would it take to sell my home in this market?,2
I'm looking for a property with at least a half-acre in Portland.,1
How can I save money selling my house?,2
How much is my house worth?,2
How will you communicate with me?,3
What selling price do you think I can achieve?,2
How often will you communicate with me?,3
What experience do you have with my local market? Have you sold homes here before?,2
"100,000$",1
200000$,1
300000$,1
400000,1
500000,1
600000,1
700000,1
800000,1
900000,1
100000,1
100 thousand,1
200 thousand,1
300 thousand,1
400 thousand,1
500 thousand,1
600 thousand,1
700 thousand,1
800 thousand,1
900 thousand,1
1 million,1
"$275,000 ",1
any price,1
below 100 k,1
"$600,000 ",1
"$800,000 ",1
1000,1
1500,1
2000,1
2500,1
3000,1
3500,1
4000,1
4500,1
5000,1
1000 sqft,1
1500 sqft,1
2000 sqft,1
2500 sqft,1
3000 sqft,1
3500 sqft,1
4000 sqft,1
4500 sqft,1
5000 sqft,1
5k sqft,1
6k sqft,1
"2,000 square feet",1
2000 SQUARE FEET,1
"3,000-square-feet",1
any,1
less than 2k,1
less than 2000,1
sqft: 2000,1
below 2000,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
Any number,1
i need 2 bed room house,1
2 bed is enough,1
looking for 2,1
looking for 2 bed,1
less than 3,1
I want this type of house,1
I like to buy a this type of home,1
I am interested in single family residence,1
I would like to have condo,1
sfr,1
SFR,1
a single family residence,1
single family,1
a condo,1
a condominium,1
a townhouse,1
an appartment,1
a duplex,1
a triplex,1
Stock Cooperative,1
Timeshare,1
Townhouse,1
Triplex,1
Residential,1
Single Family Residence,1
Multi Family > 4,1
Multi Family > 5,1
Multi Family > 6,1
Condominium,1
Duplex,1
Farm,1
Manufactured Home,1
Manufactured on Land,1
Mobile Home,1
I need Condominium,1
I want a duplex home,1
Any type of home,1
any type,1
Sfr,1
I am looking for a house near location,1
recommend me a house in location,1
I am searching for a home in location,1
need a home in location,1
I like this location very much so i interest to buy a home that place,1
I need to move on to location,1
"Hi, Please suggest a home in location",1
looking for a home near location,1
I need a home in location,1
Could you please suggest me a home in location,1
I want a house nearby location,1
I am looking for a house in location,1
I want to move to location,1
